,name,rating,salary,reviews
573,Aditya Birla Capital,4.0,7.4k,4.8k
574,Bata,3.9,3.9k,45
575,J. Kumar Infraprojects,4.1,4.4k,13
576,Apollo Pharmacy,3.9,4.2k,382
577,KFC,4.2,2.8k,--
578,Tesco,4.0,7.8k,1k
579,Sitel,3.8,4.4k,3.4k
580,Security and Intelligence Services (India),4.2,4.1k,1k
581,iOPEX Technologies,3.9,4k,4.1k
582,NIIT,3.6,6.4k,37
583,ZF Commercial Vehicle Control Systems,4.0,1.4k,27
584,Muthoot Group,3.6,4.3k,378
585,Globiva,3.3,3.6k,3
586,Frankfinn Institute of Air Hostess Training,3.9,3.5k,1k
587,Hindustan Petroleum,4.2,5.6k,4k
588,Oracle Cerner,3.9,10.2k,34
589,Panasonic,4.0,5.9k,23
590,L.G.Balakrishnan & Bros,3.8,5.2k,633
591,Tata Capital,4.1,5.2k,16
592,Barclays Shared Services,4.2,7.2k,1k
593,Relaxo Footwear,4.1,4.1k,6.4k
594,TATA Power,4.0,6k,49
595,Trident Group,3.5,5.2k,124
596,Narayana Educational Society,3.6,4.2k,467
597,HCL Technologies BPO Services,3.6,6.7k,15
598,Paisabazaar.com,3.6,5.3k,1k
599,Marico,4.1,5.2k,1.4k
600,ISS Facility Services,4.2,4k,1k
601,IDC Technologies,3.3,7.6k,4k
602,Star Union Dai-ichi Life Insurance,3.9,4.3k,31
603,Pantaloons,4.2,3.1k,21
604,Fabindia,3.9,4.3k,406
605,Nuvoco Vistas,4.2,5.1k,--
606,Toyota Kirloskar Motor,4.3,3.7k,1k
607,Morgan Stanley,3.8,15.2k,7.6k
608,Daikin,4.2,5.5k,42
609,Nayara Energy,4.3,5.6k,68
610,Ocwen Financial Solutions,4.0,5.9k,188
611,VLCC,3.7,3.6k,7
612,Aadhar Housing Finance,4.2,3.8k,999
613,Tata Group,4.4,4.4k,4.3k
614,BNP Paribas,3.9,10.7k,52
615,Satin Creditcare Network,4.1,3.7k,75
616,Welspun,4.0,4.2k,327
617,Photon Interactive,4.1,6.1k,1
